Datum,Region_Name,Region_Id,Todesfaelle,Todesfaelle_gesamt
2020-W46,Sachsen,14,114,513
2020-W46,Sachsen-Anhalt,15,15,104
2020-W46,Thüringen,16,35,254
2020-W47,Schleswig-Holstein,01,15,227
2020-W47,Hamburg,02,25,336
2020-W47,Niedersachsen,03,101,1001
2020-W47,Bremen,04,12,106
2020-W47,Nordrhein-Westfalen,05,330,2934
2020-W47,Hessen,06,160,1016
2020-W47,Rheinland-Pfalz,07,53,407
2020-W47,Baden-Württemberg,08,183,2429
2020-W47,Bayern,09,289,3409
2020-W47,Saarland,10,22,235
2020-W47,Berlin,11,87,439
2020-W47,Brandenburg,12,41,276
2020-W47,Mecklenburg-Vorpommern,13,15,53
2020-W47,Sachsen,14,138,651
2020-W47,Sachsen-Anhalt,15,17,121
2020-W47,Thüringen,16,39,293
2020-W48,Schleswig-Holstein,01,15,242
2020-W48,Hamburg,02,35,371
2020-W48,Niedersachsen,03,141,1142
2020-W48,Bremen,04,10,116
2020-W48,Nordrhein-Westfalen,05,454,3388
2020-W48,Hessen,06,214,1230
2020-W48,Rheinland-Pfalz,07,99,506
2020-W48,Baden-Württemberg,08,259,2688
2020-W48,Bayern,09,361,3770
2020-W48,Saarland,10,15,250
2020-W48,Berlin,11,88,527
2020-W48,Brandenburg,12,56,332
2020-W48,Mecklenburg-Vorpommern,13,8,61
2020-W48,Sachsen,14,233,884
2020-W48,Sachsen-Anhalt,15,41,162
2020-W48,Thüringen,16,54,347
2020-W49,Schleswig-Holstein,01,15,257
2020-W49,Hamburg,02,48,419
2020-W49,Niedersachsen,03,112,1254
2020-W49,Bremen,04,20,136
2020-W49,Nordrhein-Westfalen,05,502,3890
2020-W49,Hessen,06,222,1452
2020-W49,Rheinland-Pfalz,07,151,657
2020-W49,Baden-Württemberg,08,303,2991
2020-W49,Bayern,09,509,4279
2020-W49,Saarland,10,20,270
2020-W49,Berlin,11,141,668
2020-W49,Brandenburg,12,83,415
2020-W49,Mecklenburg-Vorpommern,13,13,74
2020-W49,Sachsen,14,394,1278
2020-W49,Sachsen-Anhalt,15,44,206
2020-W49,Thüringen,16,69,416
2020-W50,Schleswig-Holstein,01,28,285
2020-W50,Hamburg,02,59,478
2020-W50,Niedersachsen,03,159,1413
2020-W50,Bremen,04,18,154
2020-W50,Nordrhein-Westfalen,05,527,4417
2020-W50,Hessen,06,289,1741
2020-W50,Rheinland-Pfalz,07,178,835
2020-W50,Baden-Württemberg,08,391,3382
2020-W50,Bayern,09,560,4839
2020-W50,Saarland,10,30,300
2020-W50,Berlin,11,132,800
2020-W50,Brandenburg,12,64,479
2020-W50,Mecklenburg-Vorpommern,13,22,96
2020-W50,Sachsen,14,372,1650
2020-W50,Sachsen-Anhalt,15,62,268
2020-W50,Thüringen,16,91,507
2020-W51,Schleswig-Holstein,01,32,317
2020-W51,Hamburg,02,67,545
2020-W51,Niedersachsen,03,211,1624
2020-W51,Bremen,04,14,168
2020-W51,Nordrhein-Westfalen,05,760,5177
2020-W51,Hessen,06,370,2111
2020-W51,Rheinland-Pfalz,07,209,1044
2020-W51,Baden-Württemberg,08,532,3914
2020-W51,Bayern,09,794,5633
2020-W51,Saarland,10,51,351
2020-W51,Berlin,11,186,986
2020-W51,Brandenburg,12,162,641
2020-W51,Mecklenburg-Vorpommern,13,21,117
2020-W51,Sachsen,14,562,2212
2020-W51,Sachsen-Anhalt,15,113,381
2020-W51,Thüringen,16,162,669
2020-W52,Schleswig-Holstein,01,43,360
2020-W52,Hamburg,02,41,586
2020-W52,Niedersachsen,03,152,1776
2020-W52,Bremen,04,14,182
2020-W52,Nordrhein-Westfalen,05,750,5927
2020-W52,Hessen,06,361,2472
2020-W52,Rheinland-Pfalz,07,197,1241
2020-W52,Baden-Württemberg,08,493,4407
2020-W52,Bayern,09,558,6191
2020-W52,Saarland,10,53,404
2020-W52,Berlin,11,122,1108
2020-W52,Brandenburg,12,128,769
2020-W52,Mecklenburg-Vorpommern,13,25,142
2020-W52,Sachsen,14,488,2700
2020-W52,Sachsen-Anhalt,15,128,509
2020-W52,Thüringen,16,150,819
2020-W53,Schleswig-Holstein,01,78,438
2020-W53,Hamburg,02,75,661
